episode,DDDQN_PER
0,0.0
1,1.0
2,-2.0
3,0.0
4,2.0
5,0.0
6,1.0
7,1.0
8,-1.0
9,1.0
10,0.0
11,0.0
12,0.0
13,-1.0
14,-1.0
15,2.0
16,0.0
17,0.0
18,1.0
19,1.0
20,0.0
21,-1.0
22,0.0
23,1.0
24,2.0
25,-1.0
26,1.0
27,0.0
28,-1.0
29,-1.0
30,0.0
31,1.0
32,0.0
33,0.0
34,0.0
35,0.0
36,-4.0
37,1.0
38,1.0
39,-1.0
40,-2.0
41,0.0
42,0.0
43,0.0
44,1.0
45,-1.0
46,1.0
47,-1.0
48,-1.0
49,1.0
50,3.0
51,-1.0
52,1.0
53,0.0
54,0.0
55,0.0
56,-2.0
57,1.0
58,0.0
59,-1.0
60,3.0
61,0.0
62,-1.0
63,0.0
64,4.0
65,0.0
66,1.0
67,-2.0
68,-4.0
69,-1.0
70,-2.0
71,0.0
72,-2.0
73,-2.0
74,-2.0
75,0.0
76,-1.0
77,0.0
78,0.0
79,-1.0
80,-1.0
81,0.0
82,2.0
83,0.0
84,0.0
85,1.0
86,0.0
87,-2.0
88,1.0
89,-2.0
90,2.0
91,0.0
92,2.0
93,0.0
94,-1.0
95,2.0
96,-1.0
97,1.0
98,-3.0
99,-1.0
100,-2.0
101,1.0
102,0.0
103,0.0
104,1.0
105,-1.0
106,-1.0
107,-1.0
108,2.0
109,1.0
110,1.0
111,0.0
112,-1.0
113,0.0
114,0.0
115,0.0
116,0.0
117,1.0
118,1.0
119,-1.0
120,-1.0
121,0.0
122,1.0
123,0.0
124,3.0
125,0.0
126,-3.0
127,1.0
128,0.0
129,-1.0
130,2.0
131,0.0
132,0.0
133,1.0
134,0.0
135,-1.0
136,-1.0
137,1.0
138,-1.0
139,-2.0
140,1.0
141,4.0
142,-3.0
143,-1.0
144,0.0
145,-3.0
146,1.0
147,1.0
148,3.0
149,0.0
150,0.0
151,-1.0
152,2.0
153,0.0
154,2.0
155,0.0
156,2.0
157,1.0
158,0.0
159,0.0
160,0.0
161,-2.0
162,1.0
163,1.0
164,-1.0
165,3.0
166,-1.0
167,-1.0
168,1.0
169,0.0
170,-1.0
171,-1.0
172,0.0
173,1.0
174,-1.0
175,1.0
176,-4.0
177,1.0
178,0.0
179,1.0
180,-1.0
181,3.0
182,2.0
183,1.0
184,1.0
185,1.0
186,0.0
187,1.0
188,1.0
189,1.0
190,-1.0
191,-1.0
192,2.0
193,-1.0
194,-2.0
195,3.0
196,0.0
197,0.0
198,0.0
199,0.0
200,2.0
201,-1.0
202,4.0
203,-2.0
204,0.0
205,0.0
206,1.0
207,2.0
208,-1.0
209,0.0
210,6.0
211,1.0
212,1.0
213,0.0
214,0.0
215,3.0
216,0.0
217,3.0
218,3.0
219,2.0
220,-1.0
221,-3.0
222,0.0
223,-3.0
224,-2.0
225,-1.0
226,1.0
227,-1.0
228,1.0
229,0.0
230,0.0
231,0.0
232,0.0
233,1.0
234,0.0
235,-3.0
236,1.0
237,-1.0
238,4.0
239,0.0
240,3.0
241,4.0
242,0.0
243,2.0
244,0.0
245,1.0
246,0.0
247,-2.0
248,1.0
249,-2.0
250,0.0
251,2.0
252,4.0
253,4.0
254,2.0
255,0.0
256,-3.0
257,2.0
258,-1.0
259,-2.0
260,1.0
261,4.0
262,2.0
263,0.0
264,0.0
265,3.0
266,4.0
267,-1.0
268,1.0
269,4.0
270,3.0
271,4.0
272,0.0
273,1.0
274,2.0
275,1.0
276,1.0
277,-1.0
278,1.0
279,2.0
280,0.0
281,0.0
282,-1.0
283,1.0
284,-1.0
285,1.0
286,0.0
287,1.0
288,0.0
289,3.0
290,1.0
291,-1.0
292,4.0
293,0.0
294,-1.0
295,-1.0
296,2.0
297,0.0
298,0.0
299,0.0
300,2.0
301,1.0
302,-1.0
303,-1.0
304,2.0
305,0.0
306,0.0
307,-1.0
308,0.0
309,2.0
310,2.0
311,1.0
312,1.0
313,2.0
314,0.0
315,1.0
316,0.0
317,1.0
318,2.0
319,-1.0
320,-1.0
321,2.0
322,2.0
323,3.0
324,-1.0
325,-1.0
326,2.0
327,0.0
328,1.0
329,5.0
330,1.0
331,3.0
332,1.0
333,1.0
334,-1.0
335,2.0
336,0.0
337,1.0
338,1.0
339,-1.0
340,-1.0
341,0.0
342,-1.0
343,0.0
344,-2.0
345,0.0
346,-1.0
347,-1.0
348,2.0
349,-1.0
350,2.0
351,1.0
352,2.0
353,3.0
354,2.0
355,4.0
356,0.0
357,3.0
358,1.0
359,1.0
360,0.0
361,1.0
362,2.0
363,3.0
364,1.0
365,2.0
366,0.0
367,2.0
368,1.0
369,0.0
370,2.0
371,3.0
372,-1.0
373,1.0
374,-1.0
375,0.0
376,4.0
377,2.0
378,2.0
379,2.0
380,1.0
381,3.0
382,0.0
383,-1.0
384,0.0
385,4.0
386,5.0
387,1.0
388,4.0
389,4.0
390,0.0
391,1.0
392,-1.0
393,4.0
394,0.0
395,2.0
396,1.0
397,0.0
398,0.0
399,5.0
400,1.0
401,2.0
402,2.0
403,2.0
404,2.0
405,-1.0
406,0.0
407,0.0
408,1.0
409,0.0
410,0.0
411,-2.0
412,0.0
413,-1.0
414,0.0
415,1.0
416,0.0
417,1.0
418,3.0
419,-2.0
420,6.0
421,0.0
422,0.0
423,3.0
424,1.0
425,-1.0
426,-2.0
427,2.0
428,2.0
429,3.0
430,-1.0
431,1.0
432,2.0
433,0.0
434,-1.0
435,-1.0
436,0.0
437,1.0
438,2.0
439,3.0
440,2.0
441,0.0
442,4.0
443,1.0
444,1.0
445,0.0
446,4.0
447,-1.0
448,-1.0
449,4.0
450,0.0
451,-1.0
452,1.0
453,2.0
454,1.0
455,0.0
456,2.0
457,0.0
458,3.0
459,0.0
460,-2.0
461,-3.0
462,-1.0
463,3.0
464,1.0
465,-1.0
466,-2.0
467,1.0
468,3.0
469,-1.0
470,0.0
471,0.0
472,1.0
473,-1.0
474,2.0
475,4.0
476,1.0
477,1.0
478,1.0
479,0.0
480,-3.0
481,1.0
482,1.0
483,0.0
484,0.0
485,1.0
486,5.0
487,3.0
488,0.0
489,1.0
490,1.0
491,2.0
492,2.0
493,0.0
494,0.0
495,-1.0
496,6.0
497,0.0
498,4.0
499,1.0
500,2.0
501,4.0
502,0.0
503,2.0
504,2.0
505,7.0
506,0.0
507,6.0
508,1.0
509,2.0
510,4.0
511,2.0
512,1.0
513,3.0
514,1.0
515,1.0
516,2.0
517,2.0
518,-1.0
519,0.0
520,1.0
521,4.0
522,5.0
523,1.0
524,4.0
525,0.0
526,-1.0
527,4.0
528,1.0
529,4.0
530,-1.0
531,7.0
532,1.0
533,0.0
534,4.0
535,5.0
536,0.0
537,2.0
538,2.0
539,1.0
540,5.0
541,5.0
542,3.0
543,2.0
544,2.0
545,8.0
546,1.0
547,5.0
548,2.0
549,3.0
550,0.0
551,1.0
552,-1.0
553,1.0
554,4.0
555,1.0
556,2.0
557,5.0
558,2.0
559,2.0
560,0.0
561,-1.0
562,4.0
563,2.0
564,1.0
565,2.0
566,0.0
567,0.0
568,0.0
569,5.0
570,6.0
571,1.0
572,1.0
573,1.0
574,2.0
575,5.0
576,1.0
577,2.0
578,-2.0
579,-1.0
580,0.0
581,2.0
582,1.0
583,0.0
584,1.0
585,1.0
586,1.0
587,5.0
588,2.0
589,-1.0
590,5.0
591,1.0
592,2.0
593,1.0
594,0.0
595,0.0
596,2.0
597,-2.0
598,1.0
599,0.0
600,2.0
601,3.0
602,3.0
603,0.0
604,2.0
605,2.0
606,1.0
607,5.0
608,4.0
609,1.0
610,4.0
611,4.0
612,5.0
613,1.0
614,0.0
615,7.0
