episode,DDDQN_UER
0,0.0
1,1.0
2,-1.0
3,-2.0
4,0.0
5,0.0
6,0.0
7,1.0
8,1.0
9,-2.0
10,-3.0
11,0.0
12,-2.0
13,-1.0
14,2.0
15,2.0
16,0.0
17,1.0
18,0.0
19,0.0
20,1.0
21,0.0
22,2.0
23,0.0
24,0.0
25,1.0
26,0.0
27,-3.0
28,2.0
29,-3.0
30,2.0
31,-1.0
32,0.0
33,0.0
34,1.0
35,2.0
36,0.0
37,-1.0
38,1.0
39,2.0
40,0.0
41,0.0
42,0.0
43,0.0
44,-1.0
45,1.0
46,0.0
47,2.0
48,1.0
49,-1.0
50,2.0
51,2.0
52,0.0
53,-1.0
54,0.0
55,0.0
56,0.0
57,2.0
58,2.0
59,0.0
60,0.0
61,-1.0
62,-2.0
63,-1.0
64,0.0
65,0.0
66,1.0
67,1.0
68,-2.0
69,-1.0
70,-1.0
71,-1.0
72,1.0
73,-1.0
74,1.0
75,0.0
76,-1.0
77,0.0
78,2.0
79,-1.0
80,0.0
81,1.0
82,1.0
83,2.0
84,0.0
85,0.0
86,-1.0
87,-2.0
88,1.0
89,1.0
90,0.0
91,1.0
92,0.0
93,2.0
94,1.0
95,0.0
96,-1.0
97,1.0
98,0.0
99,1.0
100,3.0
101,0.0
102,1.0
103,1.0
104,1.0
105,1.0
106,0.0
107,1.0
108,-2.0
109,-1.0
110,0.0
111,-1.0
112,-1.0
113,1.0
114,2.0
115,3.0
116,0.0
117,1.0
118,2.0
119,-1.0
120,1.0
121,1.0
122,3.0
123,1.0
124,2.0
125,-1.0
126,-1.0
127,3.0
128,3.0
129,0.0
130,-1.0
131,1.0
132,1.0
133,0.0
134,1.0
135,3.0
136,3.0
137,-1.0
138,0.0
139,1.0
140,2.0
141,1.0
142,1.0
143,1.0
144,2.0
145,1.0
146,0.0
147,2.0
148,0.0
149,3.0
150,-2.0
151,2.0
152,0.0
153,1.0
154,3.0
155,3.0
156,3.0
157,-1.0
158,1.0
159,5.0
160,4.0
161,-1.0
162,-1.0
163,1.0
164,0.0
165,-2.0
166,0.0
167,2.0
168,4.0
169,3.0
170,0.0
171,5.0
172,1.0
173,2.0
174,1.0
175,3.0
176,0.0
177,3.0
178,0.0
179,-1.0
180,5.0
181,3.0
182,1.0
183,5.0
184,4.0
185,2.0
186,4.0
187,1.0
188,0.0
189,1.0
190,4.0
191,1.0
192,7.0
193,5.0
194,1.0
195,-1.0
196,1.0
197,3.0
198,5.0
199,0.0
200,4.0
201,3.0
202,4.0
203,5.0
204,2.0
205,3.0
206,2.0
207,1.0
208,5.0
209,4.0
210,6.0
211,0.0
212,0.0
213,7.0
214,1.0
215,5.0
216,3.0
217,4.0
218,6.0
219,1.0
220,6.0
221,1.0
222,9.0
223,5.0
224,8.0
225,1.0
226,2.0
227,4.0
228,2.0
229,4.0
230,4.0
231,1.0
232,6.0
233,4.0
234,3.0
235,2.0
236,2.0
237,2.0
238,2.0
239,3.0
240,4.0
241,2.0
242,6.0
243,5.0
244,5.0
245,2.0
246,6.0
247,0.0
248,5.0
249,4.0
250,5.0
251,5.0
252,3.0
253,3.0
254,3.0
255,5.0
256,2.0
257,4.0
258,4.0
259,5.0
260,1.0
261,2.0
262,4.0
263,4.0
264,2.0
265,4.0
266,2.0
267,1.0
268,0.0
269,5.0
270,1.0
271,3.0
272,0.0
273,7.0
274,0.0
275,3.0
276,3.0
277,2.0
278,6.0
279,-1.0
280,6.0
281,2.0
282,2.0
283,1.0
284,7.0
285,2.0
286,7.0
287,2.0
288,2.0
289,5.0
290,6.0
291,1.0
292,1.0
293,3.0
294,0.0
295,1.0
296,3.0
297,4.0
298,4.0
299,4.0
300,6.0
301,8.0
302,5.0
303,9.0
304,7.0
305,7.0
306,3.0
307,5.0
308,6.0
309,1.0
310,6.0
311,7.0
312,2.0
313,3.0
314,5.0
315,3.0
316,6.0
317,2.0
318,8.0
319,3.0
320,2.0
321,-1.0
322,8.0
323,3.0
324,6.0
325,5.0
326,4.0
327,3.0
328,1.0
329,5.0
330,0.0
331,3.0
332,8.0
333,2.0
334,6.0
335,5.0
336,5.0
337,7.0
338,2.0
339,1.0
340,2.0
341,5.0
342,6.0
343,7.0
344,7.0
345,3.0
346,6.0
347,6.0
348,3.0
349,5.0
350,5.0
351,11.0
352,5.0
353,5.0
354,3.0
355,6.0
356,2.0
357,0.0
358,5.0
359,3.0
360,7.0
361,5.0
362,9.0
363,8.0
364,8.0
365,0.0
366,10.0
367,5.0
368,4.0
369,6.0
370,2.0
371,5.0
372,8.0
373,1.0
374,15.0
375,7.0
376,10.0
377,3.0
378,5.0
379,7.0
380,8.0
381,8.0
382,6.0
383,8.0
384,5.0
385,10.0
386,8.0
387,14.0
388,9.0
389,6.0
390,5.0
391,10.0
392,4.0
393,10.0
394,10.0
395,11.0
396,4.0
397,3.0
398,4.0
399,4.0
400,4.0
401,6.0
402,8.0
403,4.0
404,10.0
405,8.0
406,3.0
407,10.0
408,7.0
409,6.0
410,3.0
411,6.0
412,9.0
413,7.0
414,8.0
415,10.0
416,7.0
417,4.0
418,5.0
419,7.0
420,3.0
421,6.0
422,10.0
423,1.0
424,11.0
425,5.0
426,12.0
427,9.0
428,8.0
429,10.0
430,5.0
431,6.0
432,6.0
433,10.0
434,12.0
435,7.0
436,11.0
437,4.0
438,3.0
439,10.0
440,3.0
441,4.0
442,12.0
443,10.0
444,2.0
445,11.0
446,5.0
447,4.0
448,5.0
449,9.0
450,5.0
451,8.0
452,10.0
453,10.0
454,8.0
455,8.0
456,11.0
457,7.0
458,11.0
459,5.0
460,8.0
461,10.0
462,9.0
463,7.0
464,6.0
465,3.0
466,4.0
467,10.0
468,7.0
469,7.0
470,8.0
471,5.0
472,11.0
473,10.0
474,3.0
475,10.0
476,11.0
477,13.0
478,15.0
479,8.0
480,9.0
481,10.0
482,8.0
483,11.0
484,9.0
485,7.0
486,9.0
487,8.0
488,8.0
489,11.0
490,7.0
491,7.0
492,6.0
493,4.0
494,11.0
495,7.0
496,10.0
497,12.0
498,8.0
499,8.0
500,9.0
501,7.0
502,4.0
503,4.0
504,10.0
505,4.0
506,9.0
507,11.0
508,8.0
509,6.0
510,2.0
511,5.0
512,5.0
513,6.0
514,2.0
515,6.0
516,5.0
517,11.0
518,1.0
519,10.0
520,6.0
521,7.0
522,4.0
523,5.0
524,4.0
525,7.0
526,3.0
527,4.0
528,6.0
529,4.0
530,13.0
531,8.0
532,4.0
533,3.0
534,11.0
535,8.0
536,6.0
537,7.0
538,7.0
539,0.0
540,8.0
541,8.0
542,12.0
543,7.0
544,9.0
545,3.0
546,6.0
547,9.0
548,8.0
549,11.0
550,13.0
551,13.0
552,4.0
553,7.0
554,9.0
555,10.0
556,4.0
557,7.0
558,5.0
559,9.0
560,2.0
561,14.0
562,10.0
563,11.0
564,8.0
565,7.0
566,11.0
567,10.0
568,14.0
569,12.0
570,8.0
571,13.0
572,11.0
573,11.0
574,13.0
575,6.0
576,11.0
577,8.0
578,9.0
579,7.0
580,11.0
581,7.0
582,10.0
583,12.0
584,11.0
585,9.0
586,8.0
587,10.0
588,12.0
589,14.0
590,13.0
591,14.0
592,10.0
593,6.0
594,8.0
595,14.0
596,3.0
597,15.0
598,4.0
599,10.0
600,9.0
601,9.0
602,9.0
603,11.0
604,9.0
605,6.0
606,8.0
607,12.0
608,10.0
609,17.0
610,16.0
611,9.0
612,10.0
613,14.0
614,11.0
615,11.0
616,11.0
617,13.0
618,10.0
619,15.0
620,15.0
621,8.0
622,6.0
623,16.0
624,9.0
625,18.0
626,14.0
627,12.0
628,14.0
629,14.0
630,6.0
