episode,DDQN_PER
0,-1.0
1,-1.0
2,3.0
3,1.0
4,0.0
5,1.0
6,1.0
7,1.0
8,1.0
9,2.0
10,-1.0
11,0.0
12,6.0
13,3.0
14,1.0
15,-1.0
16,0.0
17,0.0
18,-1.0
19,-2.0
20,0.0
21,0.0
22,-1.0
23,0.0
24,-1.0
25,0.0
26,2.0
27,1.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.0
33,0.0
34,-1.0
35,-1.0
36,0.0
37,-1.0
38,3.0
39,1.0
40,1.0
41,1.0
42,-2.0
43,1.0
44,1.0
45,1.0
46,0.0
47,-1.0
48,0.0
49,0.0
50,-1.0
51,1.0
52,-1.0
53,1.0
54,-1.0
55,1.0
56,0.0
57,-2.0
58,0.0
59,0.0
60,0.0
61,1.0
62,0.0
63,0.0
64,0.0
65,-3.0
66,0.0
67,-2.0
68,0.0
69,0.0
70,-1.0
71,0.0
72,0.0
73,1.0
74,-1.0
75,1.0
76,0.0
77,0.0
78,0.0
79,-1.0
80,-1.0
81,-2.0
82,-1.0
83,0.0
84,0.0
85,0.0
86,1.0
87,0.0
88,1.0
89,0.0
90,4.0
91,-2.0
92,-3.0
93,2.0
94,0.0
95,0.0
96,1.0
97,2.0
98,1.0
99,0.0
100,1.0
101,1.0
102,1.0
103,1.0
104,0.0
105,0.0
106,0.0
107,1.0
108,1.0
109,-1.0
110,2.0
111,1.0
112,0.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,-1.0
119,4.0
120,1.0
121,0.0
122,1.0
123,-1.0
124,0.0
125,2.0
126,-2.0
127,0.0
128,1.0
129,1.0
130,1.0
131,1.0
132,2.0
133,0.0
134,-2.0
135,1.0
136,0.0
137,-1.0
138,2.0
139,2.0
140,-3.0
141,-4.0
142,-3.0
143,1.0
144,1.0
145,2.0
146,1.0
147,-1.0
148,1.0
149,1.0
150,0.0
151,-2.0
152,-1.0
153,2.0
154,3.0
155,-1.0
156,0.0
157,-1.0
158,-1.0
159,-4.0
160,0.0
161,1.0
162,-1.0
163,1.0
164,0.0
165,0.0
166,2.0
167,1.0
168,2.0
169,-1.0
170,1.0
171,1.0
172,0.0
173,3.0
174,1.0
175,0.0
176,2.0
177,1.0
178,2.0
179,0.0
180,-1.0
181,-2.0
182,1.0
183,0.0
184,2.0
185,-1.0
186,2.0
187,1.0
188,0.0
189,2.0
190,1.0
191,-1.0
192,0.0
193,0.0
194,5.0
195,-2.0
196,-1.0
197,2.0
198,1.0
