episode,DDQN_UER
0,1.0
1,0.0
2,0.0
3,-1.0
4,1.0
5,1.0
6,-1.0
7,0.0
8,-1.0
9,-2.0
10,-1.0
11,1.0
12,-1.0
13,0.0
14,0.0
15,3.0
16,-1.0
17,2.0
18,-1.0
19,1.0
20,-2.0
21,0.0
22,1.0
23,1.0
24,0.0
25,0.0
26,2.0
27,0.0
28,0.0
29,-2.0
30,0.0
31,0.0
32,1.0
33,1.0
34,3.0
35,0.0
36,-1.0
37,2.0
38,2.0
39,1.0
40,-2.0
41,1.0
42,1.0
43,0.0
44,-1.0
45,0.0
46,-1.0
47,2.0
48,-2.0
49,0.0
50,-1.0
51,1.0
52,1.0
53,0.0
54,-1.0
55,0.0
56,3.0
57,-1.0
58,0.0
59,-2.0
60,2.0
61,1.0
62,-2.0
63,0.0
64,0.0
65,-5.0
66,1.0
67,-1.0
68,0.0
69,3.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,-1.0
76,2.0
77,0.0
78,-1.0
79,3.0
80,-1.0
81,1.0
82,-1.0
83,-1.0
84,1.0
85,-1.0
86,0.0
87,1.0
88,1.0
89,1.0
90,-1.0
91,0.0
92,1.0
93,-1.0
94,2.0
95,0.0
96,-1.0
97,1.0
98,1.0
99,0.0
100,-1.0
101,-1.0
102,0.0
103,1.0
104,1.0
105,0.0
106,2.0
107,1.0
108,0.0
109,-2.0
110,1.0
111,-1.0
112,1.0
113,3.0
114,-1.0
115,-2.0
116,1.0
117,0.0
118,-1.0
119,0.0
120,1.0
121,0.0
122,-2.0
123,3.0
124,-1.0
125,-1.0
126,0.0
127,0.0
128,-4.0
129,1.0
130,2.0
131,-2.0
132,1.0
133,2.0
134,5.0
135,0.0
136,1.0
137,0.0
138,1.0
139,-1.0
140,-1.0
141,0.0
142,0.0
143,-1.0
144,0.0
145,2.0
146,0.0
147,0.0
148,-2.0
149,1.0
150,-1.0
151,-1.0
152,-1.0
153,0.0
154,1.0
155,2.0
156,0.0
157,1.0
158,0.0
159,1.0
160,1.0
161,2.0
162,2.0
163,0.0
164,0.0
165,-1.0
166,0.0
167,1.0
168,-1.0
169,0.0
170,1.0
171,-2.0
172,1.0
173,1.0
174,0.0
175,2.0
176,1.0
177,2.0
178,1.0
179,3.0
180,0.0
181,0.0
182,2.0
183,2.0
184,3.0
185,2.0
186,1.0
187,0.0
188,0.0
189,1.0
190,-2.0
191,0.0
192,1.0
193,1.0
194,2.0
195,1.0
196,-2.0
197,0.0
198,4.0
199,0.0
200,1.0
201,2.0
202,3.0
203,3.0
204,2.0
205,0.0
206,0.0
207,6.0
208,0.0
209,2.0
210,1.0
211,4.0
212,1.0
213,2.0
214,4.0
215,2.0
216,1.0
217,2.0
218,3.0
219,3.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,-1.0
226,2.0
227,0.0
228,0.0
229,0.0
230,5.0
231,-1.0
232,1.0
233,1.0
234,-2.0
235,-2.0
236,-1.0
237,0.0
238,3.0
239,0.0
240,-1.0
241,3.0
242,0.0
243,1.0
244,3.0
245,0.0
246,0.0
247,0.0
248,2.0
249,1.0
250,2.0
251,-1.0
252,0.0
253,3.0
254,2.0
255,-3.0
256,0.0
257,2.0
258,-2.0
259,0.0
260,0.0
261,0.0
262,1.0
263,0.0
264,2.0
265,1.0
266,-2.0
267,-2.0
268,-1.0
269,2.0
270,-2.0
271,4.0
272,0.0
273,2.0
274,1.0
275,1.0
276,-1.0
277,0.0
278,4.0
279,1.0
280,1.0
281,0.0
282,3.0
283,3.0
284,0.0
285,0.0
286,2.0
287,0.0
288,3.0
289,-1.0
290,2.0
291,0.0
292,1.0
293,3.0
294,-1.0
295,4.0
296,2.0
297,2.0
298,0.0
299,0.0
300,2.0
301,2.0
302,3.0
303,3.0
304,2.0
305,-2.0
306,1.0
307,-1.0
308,2.0
309,0.0
310,0.0
311,3.0
312,1.0
313,2.0
314,0.0
315,0.0
316,0.0
317,3.0
318,2.0
319,1.0
320,-1.0
321,5.0
322,3.0
323,4.0
324,0.0
325,3.0
326,3.0
327,2.0
328,3.0
329,4.0
330,1.0
331,3.0
332,0.0
333,0.0
334,1.0
335,2.0
336,2.0
337,1.0
338,2.0
339,3.0
340,0.0
341,3.0
342,3.0
343,2.0
344,4.0
345,3.0
346,1.0
347,2.0
348,4.0
349,4.0
350,3.0
351,3.0
352,4.0
353,2.0
354,1.0
355,4.0
356,2.0
357,1.0
358,1.0
359,3.0
360,1.0
361,3.0
362,3.0
363,0.0
364,5.0
365,3.0
366,0.0
367,5.0
368,0.0
369,3.0
370,1.0
371,3.0
372,3.0
373,0.0
374,1.0
375,2.0
376,2.0
377,7.0
378,4.0
379,-1.0
380,6.0
381,-3.0
382,-1.0
383,1.0
384,-1.0
385,0.0
